date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:03:33	61846/61846	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Oct%202019%2009:23:01%20GMT	https://demo.zytheme.com/cryptech/home-ico.html	demo.zytheme.com/cryptech/home-ico.html	(from )
06:03:34	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Jan%202024%2011:03:34%20GMT	https://demo.zytheme.com/robots.txt		(from )
06:03:34	1934/1934	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/images/favicon/favicon.png	demo.zytheme.com/cryptech/assets/images/favicon/favicon.png	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:03:35	245842/245842	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/css/external.css	demo.zytheme.com/cryptech/assets/css/external.css	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:03:36	121260/121260	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/css/bootstrap.min.css	demo.zytheme.com/cryptech/assets/css/bootstrap.min.css	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:03:37	233378/233378	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Oct%202019%2009:23:00%20GMT	https://demo.zytheme.com/cryptech/assets/css/style.css	demo.zytheme.com/cryptech/assets/css/style.css	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:03:38	29777/29777	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Oct%202019%2009:23:01%20GMT	https://demo.zytheme.com/cryptech/assets/revolution/css/settings.css	demo.zytheme.com/cryptech/assets/revolution/css/settings.css	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:03:39	140793/140793	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Oct%202019%2009:23:01%20GMT	https://demo.zytheme.com/cryptech/assets/revolution/css/layers.css	demo.zytheme.com/cryptech/assets/revolution/css/layers.css	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:03:40	59576/59576	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Oct%202019%2009:23:01%20GMT	https://demo.zytheme.com/cryptech/assets/revolution/css/navigation.css	demo.zytheme.com/cryptech/assets/revolution/css/navigation.css	(from https://demo.zytheme.com/cryptech/home-ico.html)
06:03:41	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Jan%202024%2011:03:41%20GMT	https://demo.zytheme.com/cryptech/index-2.html	demo.zytheme.com/cryptech/index-2.html	(from https://demo.zytheme.com/cryptech/home-ico.html)
